sku,product_name,barcode,revenue,quantity,avg_unit_cost,total_cost,gross_margin,margin_pct,match_method,cost_vendor,cost_entries
SSS99-50,Slick Stick 99 Suspending Jerkbait - Oneida Perch,,229.8,27,1455.0,39285.0,-39055.2,-16995.3,fuzzy_name,Ark Fishing International,4
S8-8,Seeker 8 - Blue Craw,,216.91,26,163.8,4258.8,-4041.89,-1863.4,exact_name,Weihai Runten Industrial Limited,1
LL-1,Dive Master 8 - AYU,,215.76,24,372.0,8928.0,-8712.24,-4037.9,exact_name,Livingston Lures,1
S8-4,Seeker 8 - Blackout,,213.94,26,36.0,936.0,-722.06,-337.5,fuzzy_name,Weihai Runten Industrial Limited,1
LL-7,Howeller DMC Plus Spring Craw,,209.41,16,426.0,6816.0,-6606.59,-3154.9,fuzzy_name,Livingston Lures,1
799787440351,Loaded Dice - Warm Blue,799787440351,207.84,16,1314.0,21024.0,-20816.16,-10015.5,UPC,3 Brothers Baits LLC,2
sticker-fbass,Patriotic Bass,,188.0,94,630.0,59220.0,-59032.0,-31400.0,exact_name,"Heyuan Boyue Color Printing Co.,Ltd",1
SSS99-43,Slick Stick 99 Suspending Jerkbait - Orange Julius,,163.82,19,1455.0,27645.0,-27481.18,-16775.2,fuzzy_name,Ark Fishing International,4
MB-MCRANK-12-CREAPER,Seeker 12 - Creeper Reaper,656750687079,162.66,20,163.8,3276.0,-3113.34,-1914.0,exact_name,Weihai Runten Industrial Limited,1
MB-MCRANK-46-BGILL,Seeker 6 - Bluegill,656750686935,161.82,18,163.8,2948.4,-2786.58,-1722.0,exact_name,Weihai Runten Industrial Limited,1
SSS99-64,Slick Stick 99 Suspending - Wakasagi,,160.8,18,235.2,4233.6,-4072.8,-2532.8,exact_name,Weihai Runten Industrial Limited,1
MB-MCRANK-12-JSHAD,Seeker 12 - Jade Shad,656750687031,160.51,21,163.8,3439.8,-3279.29,-2043.0,exact_name,Weihai Runten Industrial Limited,1
MLF-222,6th Sense Hyperjerk,,156.79,22,55.0,1210.0,-1053.21,-671.7,fuzzy_name,Major League Fishing,1
S8-11,Seeker 8 - Bone,,155.88,18,36.0,648.0,-492.12,-315.7,fuzzy_name,Weihai Runten Industrial Limited,1
SSS99-32,Slick Stick 99 Suspending Jerkbait - Ghost Pro Blue,,155.85,18,1455.0,26190.0,-26034.15,-16704.6,fuzzy_name,Ark Fishing International,4
S8-14,Seeker 8 - Charteuse Black Back,,143.92,17,36.0,612.0,-468.08,-325.2,fuzzy_name,Weihai Runten Industrial Limited,1
MB-MCRANK-46-BLUESEXY,Seeker 6 - Blue Sexy,656750686928,143.84,16,163.8,2620.8,-2476.96,-1722.0,exact_name,Weihai Runten Industrial Limited,1
LL-32,Walking Boss - Brown Hitch,,142.89,11,363.0,3993.0,-3850.11,-2694.5,exact_name,Livingston Lures,1
J110SP-58,Suspending Jerkbait - Skeleton,,139.86,14,1455.0,20370.0,-20230.14,-14464.6,fuzzy_name,Ark Fishing International,4
S8-63,Seeker 8 - Threadfin Shad,,134.93,16,36.0,576.0,-441.07,-326.9,fuzzy_name,Weihai Runten Industrial Limited,1
S8-37,Seeker 8 - Ghost Shad,,129.9,15,163.8,2457.0,-2327.1,-1791.5,exact_name,Weihai Runten Industrial Limited,1
799787440352,Loaded Dice - Sexy,799787440352,129.9,10,1053.0,10530.0,-10400.1,-8006.2,exact_name,3 Brothers Baits LLC,1
HERC4-259,"Herculez 4""",,129.87,13,1248.75,16233.75,-16103.88,-12400.0,fuzzy_name,"Z-Man Fishing Products, Inc.",1
S8-10,Seeker 8 - Bluegill,,127.92,15,163.8,2457.0,-2329.08,-1820.7,exact_name,Weihai Runten Industrial Limited,1
OM-STICKER,Orange M Sticker,,126.0,63,254.0,16002.0,-15876.0,-12600.0,fuzzy_name,"Heyuan Boyue Color Printing Co.,Ltd",2
MB-MCRANK-12-CBLB,Seeker 12 - Chartreuse Blue Back,656750687024,124.88,14,163.8,2293.2,-2168.32,-1736.3,exact_name,Weihai Runten Industrial Limited,1
S8-6,Seeker 8 - Blue Chrome,,123.96,15,163.8,2457.0,-2333.04,-1882.1,exact_name,Weihai Runten Industrial Limited,1
SSS99-35,Slick Stick 99 Suspending - Ghost Shad,,121.84,14,235.2,3292.8,-3170.96,-2602.6,exact_name,Weihai Runten Industrial Limited,1
SSS99-41,Slick Stick 99 Suspending - Jade Shad,,117.8,13,235.2,3057.6,-2939.8,-2495.6,exact_name,Weihai Runten Industrial Limited,1
S8-40,Seeker 8 - Green Sexy,,115.88,13,36.0,468.0,-352.12,-303.9,fuzzy_name,Weihai Runten Industrial Limited,1
MB-MCRANK-12-CTSHAD,Seeker 12 - Chrome Threadfin Shad,656750687055,107.88,12,163.8,1965.6,-1857.72,-1722.0,fuzzy_name,Weihai Runten Industrial Limited,1
MB-MCRANK-12-PERCH,Seeker 12 - Oneida Perch,656750687048,107.88,12,163.8,1965.6,-1857.72,-1722.0,exact_name,Weihai Runten Industrial Limited,1
MBCF35-DBLO,Craw Father,,89.11,19,1140.48,21669.12,-21580.01,-24217.3,fuzzy_name,A.N.E Wholesale,1
S12-22,Seeker 12 - Candy Apple Craw,,88.91,10,163.8,1638.0,-1549.09,-1742.3,exact_name,Weihai Runten Industrial Limited,1
S8-9,Seeker 8 - Blue Sexy,,84.95,10,163.8,1638.0,-1553.05,-1828.2,exact_name,Weihai Runten Industrial Limited,1
STICKER-FIRE,Firey Bass Sticker,,84.0,42,292.0,12264.0,-12180.0,-14500.0,exact_name,"Guangdong Boyue Digital Application Technology Co.,Ltd",1
799787440115,Loaded Dice - Albino,799787440115,77.94,6,1323.0,7938.0,-7860.06,-10084.8,UPC,3 Brothers Baits LLC,1
STICKER-BFS,Bigfoot Sticker,,74.0,37,292.0,10804.0,-10730.0,-14500.0,exact_name,"Heyuan Boyue Color Printing Co.,Ltd",1
STICKER-WTF,Where's The Fish Sticker,,72.0,36,248.0,8928.0,-8856.0,-12300.0,exact_name,"Heyuan Boyue Color Printing Co.,Ltd",1
LL-27,Livingston Lures Walk N Pop 77 - Red Rum,,67.54,6,306.0,1836.0,-1768.46,-2618.4,fuzzy_name,Livingston Lures,1
MBMDC-BLKN,Mini D Chunk,,65.66,14,1267.2,17740.8,-17675.14,-26919.2,fuzzy_name,A.N.E Wholesale,1
HAMMER-6,MONSTERBASS The Hammer | Colorado Spinnerbait - White w/ Colorado Gold,810103811607,64.0,8,1027.2,8217.6,-8153.6,-12740.0,UPC,"Qingdao Mango Outdoors Co., Ltd.",1
S8-23,Seeker 8 - Crawlicious,,61.94,7,36.0,252.0,-190.06,-306.8,fuzzy_name,Weihai Runten Industrial Limited,1
STICKER-BK,Bucket King Sticker,,60.0,30,248.0,7440.0,-7380.0,-12300.0,exact_name,"Guangdong Boyue Digital Application Technology Co.,Ltd",1
kids-0625,Create A Bait - Kid's Fishing Kit: June 2025,,60.0,3,225.0,675.0,-615.0,-1025.0,fuzzy_name,Weihai Runten Industrial Limited,8
CB-3,Create A Bait - Mad Max blank,,57.92,10,225.0,2250.0,-2192.08,-3784.7,fuzzy_name,Weihai Runten Industrial Limited,8
