sku,product_name,barcode,revenue,quantity
mb-subscription-florida-3,Platinum Series Florida: 3 month,,11747.0,360
GP-PROTECT-0,Guaranteed Shipping Protection - Level 0,,11037.74,11265
mb-subscription-florida-6,Platinum Series Florida: 6 month,,10956.0,323
GOLD-1224,Gold 12 Month: December 2024 - 12 Month,,10626.97,372
MSR-UL,AAA Ultra-Light Spinning Rod,810103810723,10434.2,116
GOLD-0924,Gold Monthly: September 2024 - 1 Month,,10183.83,558
mb-subscription-psw-12,Platinum Series West: 12 month,,10023.0,382
platinum-0124,Z-Man Takeover Box | Platinum Series,,10015.86,256
GOLD-0824,Gold 3 Month: August 2024,,9881.83,604
GOLD-0325,Gold Monthly: March 2025 - 1 Month,,9430.98,364
GOLD-1124,Gold 6 Month: November 2024 - 6 Month,,9333.48,471
FTB3S71M,"13 Fishing Fate Black Rod - 7'1"" M Spinning Rod",,9278.84,116
BAG-12x10x2,The Bait Bag,,9261.55,1545
platinum-0524,Pond Hopper Box #524,,9050.0,242
GOLD-0125,Gold Monthly: January 2025 - 1 Month,,8900.97,394
GOLD-1024,Gold 12 Month: October 2024 - 12 Month,,8282.97,470
GOLD-0625,Gold Monthly: June 2024 - 1 Month,,8182.7,165
Welcome-60,FREE GIFT: $60 Store Credit,,8160.0,136
mb-subscription-23900,The MONSTERBASS Bait Box,,7980.0,210
CBJH38-14,Z-Man JackHammer ChatterBait - 3/8oz / Fire Craw,,7901.55,821
platinum-0724,Pond Hopper Bait Box,,7798.0,239
GIFT-SPINNING-ROD,FREE GIFT: Spinning Fishing Rod,,7740.0,95
platinum-0624-new,Platinum Bonus Box,,7697.97,190
MULTI-NEW-6,Platinum Series Bass & Panfish: 6 month,,7666.0,36
BOX-ULT,ULTIMATE Bass Box,,7650.18,94
multi-0525,Platinum - Bass & Panfish Monthly: May 2025,,7290.99,227
mb-subscription-florida-12,Platinum Series Florida: 12 month,,7290.0,317
multi-0625,Platinum - Bass & Panfish 12 Month: June 2025,,7262.0,224
Welcome-90,FREE GIFT: $90 Store Credit,,7110.0,79
mb-subscription-national-12,Gold Series: 12 month,,6720.0,309
platinum-0924,Platinum - Bass 3 Month: September 2024,,6633.75,488
season-pass-silver,The Season Pass - Small,,6490.0,26
MBC-578MFC,"LUNKERSTICK - Casting: 7'8"" Medium Heavy - Moderate Fast",810103812901,6455.7,48
silver-0724,Silver Monthly: July 2024,,6383.63,327
MSR-574F,"LUNKERSTICK - Spinning: 7'4"" Medium Heavy - Fast",810103812918,6367.6,48
GOLD-1225,Gold 6 Month: December 2025 - 6 Month,,6285.33,215
multi-1125,Platinum - Bass & Panfish Monthly: November 2025,,6152.74,121
GOLD-0225,Gold Monthly: February 2025 - 1 Month,,6087.24,208
GOLD-1025,Gold Monthly: October 2025 - 1 Month,,6030.32,148
platinum-0824,Pond Hopper Box #824,,6006.0,154
multi-0325,Platinum - Bass & Panfish Monthly: March 2025,,6001.99,170
MULTI-NEW-GIFT,Platinum Series Bass & Panfish: Gift Subscription,,5880.0,120
multi-0725,Platinum - Bass & Panfish Monthly: July 2025,,5786.0,221
GOLD-0825,Gold Monthly: August 2025 - 1 Month,,5751.14,151
LUNKERBAG,LUNKERBAG Tackle Storage System - Bag Only,656750686416,5744.97,81
GOLD-1125,Gold 6 Month: November 2025 - 6 Month,,5670.32,149
FREE-GC,Omen Black Fishing Rod Gift Card,,5457.9,42
mb-subscription-23800,"Spinnerbaits, Jig & Frog Box",,5282.0,139
