Rank,SKU,Product_Name,Product_Type,Vendor,Revenue,Quantity,Avg_Price,Order_Count,Current_Price,Current_Inventory,Status
205,KIT-FLIPPING,Dominate Heavy Cover with the 40-Piece MONSTERBASS Flipping & Pitching Kit! 🔥,Technique Specific Kit,MONSTERBASS,2435.0,45,54.11,45,54.00,0,ARCHIVED
206,silver-1224,Silver Slam Box,Tackle Bundle,,2420.0,121,20.0,119,,,
207,GP-PROTECT-1,Guaranteed Shipping Protection - Level 1,Protection,MONSTERBASS,2377.48,1213,1.96,1211,1.96,-1279,ACTIVE
208,BBL-GB,Death Rattle Lipless Crankbait - Gold Black,Lipless Crankbait,Bruiser Baits,2376.0,264,9.0,44,9.00,124,ACTIVE
209,GOLD-0224,Gold 6 Month: February 2024 - 6 Month,Subscription Box,,2367.0,184,12.86,183,,,
210,BBL-CS,Death Rattle Lipless Crankbait - Chrome Shad,Lipless Crankbait,Bruiser Baits,2356.16,262,8.99,43,8.99,0,ACTIVE
211,MB-SHHEAD-15-RUDDRED,Hammerhead Squarebill – Alex Rudd Edition - Rudd Red,Squarebill,MONSTERBASS,2277.25,274,8.31,13,8.00,0,ARCHIVED
212,platinum-0724-new,June 204,Subscription Box,MONSTERBASS,2235.09,54,41.39,53,39.00,0,ARCHIVED
213,MB-3700,Monsterbox 3700,Tackle Bags & Boxes,MONSTERBASS,2230.37,160,13.94,74,13.99,0,DRAFT
214,GUIDEPROTECTION-1,Guide Package Protection - $.98,Shipping Protection,Guide,2210.88,2256,0.98,2256,0.98,-2248,ARCHIVED
215,MB-CRAW-GPB,PB Craw - Green Pumpkin Blue Flake,Craws & Creatures,MONSTERBASS,2136.07,606,3.52,415,5.99,0,ACTIVE
216,CV2-KB-GM,"Cobra V2.0 Spinnerbait, Kunai Blade - Gold Mine",Spinnerbaits,American Snakehead Customs LLC,2129.44,180,11.83,137,11.99,278,ACTIVE
217,gold-quarterly,Gold Series: Quarterly,Subscription Box,MONSTERBASS,2128.0,76,28.0,76,28.00,881,DRAFT
218,BB-110JERK-PBLUE,Banger 110 - Pro Blue,Jerkbaits,Bruiser Baits,2126.7,330,6.44,169,8.99,0,ACTIVE
219,GOLD-0424,Gold 6 Month: April 2024,Subscription Box,,2120.0,173,12.25,173,,,
220,DD-BASS,Dirty Dancer - Baby Bass,Topwater,Bruiser Baits,2098.49,211,9.95,27,8.99,0,DRAFT
221,MB-3600,Monsterbox 3600,Tackle Bags & Boxes,MONSTERBASS,2088.96,192,10.88,93,12.00,0,ARCHIVED
222,LCLDSS,"Custom Lite 6'10"" Spinning Rod",Fishing Rod,Lew's,2039.88,12,169.99,12,169.99,0,ARCHIVED
223,BB-110JERK-SSHAD,Banger 110 - Sexy Shad,Jerkbaits,Bruiser Baits,2031.76,226,8.99,69,8.99,173,ACTIVE
224,DD-SEXY,Dirty Dancer - Sexy Shad,Topwater,Bruiser Baits,2018.89,203,9.95,19,8.99,0,DRAFT
225,10-20-GGS-10005F,Googan Squad Clickbait - Black/Blue,Bladed Jigs,Googan Baits,2010.79,321,6.26,106,3.99,0,ARCHIVED
226,DD-SHINER,Dirty Dancer - Silver Shiner,Topwater,Bruiser Baits,2009.9,202,9.95,19,8.99,0,DRAFT
227,DD-GOLD,Dirty Dancer - Golden Child,Topwater,Bruiser Baits,2009.9,202,9.95,19,8.99,0,DRAFT
228,DDF-BONE,Dirty Dancer - Bone,Topwater,Bruiser Baits,1999.95,201,9.95,19,8.99,0,DRAFT
229,TUF50T502,Ultimate Frog - Tan/Brown,Frogs,LIVETARGET,1961.49,151,12.99,32,12.99,272,ACTIVE
230,platinum-0325-old,Z-Man Essentials Box,Tackle Bundle,MONSTERBASS,1960.0,49,40.0,42,40.00,193,ACTIVE
231,PL00S,Quantum Pulse Casting Reel,Fishing Reel,Quantum,1943.75,60,32.4,47,30.00,0,ARCHIVED
232,MM-67,Mad Max v3.0 - Chrome,Topwater,MONSTERBASS,1860.57,184,10.11,151,8.00,0,ARCHIVED
233,mb-subscription-23806,Mystery Box of Tackle #823 - Gold,Subscription Box,MONSTERBASS,1856.0,64,29.0,63,29.00,0,ARCHIVED
234,SSFROG-10018,June's Member Exclusive Topwater Bait,Unclassified,SteelShad,1853.13,302,6.14,292,8.00,0,ARCHIVED
235,10-20-GGS-10005I,Googan Squad Clickbait - Green Pumpkin,Bladed Jigs,Googan Baits,1821.51,499,3.65,279,3.99,0,ARCHIVED
236,silver-0325,Silver Monthly: March 2025,Subscription Box,MONSTERBASS,1800.0,90,20.0,90,20.00,0,DRAFT
237,MB-ROLLO6-CPERCH,Rollo 6 - Chartreuse Perch,Crankbaits,MONSTERBASS,1788.34,203,8.81,46,8.00,66,ACTIVE
238,KIT-CAROLINA,Unlock the Power of the Carolina Rig – The 52-Piece MONSTERBASS Kit! 🎣,Technique Specific Kit,MONSTERBASS,1787.0,32,55.84,30,48.00,31,ACTIVE
239,silver-0225-old,Dock Fishing Essentials,Tackle Bundle,MONSTERBASS,1771.0,60,29.52,56,25.00,47,ACTIVE
240,LL-35,Walking Boss II Magnum - Money Gill,Walking Baits,Livingston Lures,1753.8,125,14.03,124,32.99,0,ARCHIVED
241,CBCE38-01,CrossEyeZ Chatterbait - 3/8 oz / Pearl Ghost,Bladed Jigs,Z-Man Fishing Products,1730.98,173,10.01,12,10.49,0,ARCHIVED
242,LB-TSC,DEBO's Little Banger - Tequila Sunrise Craw,Squarebill,MONSTERBASS,1718.63,172,9.99,135,9.00,0,ACTIVE
243,mb-gift-ms-1,Multi-Species: 1 month gift,Gift Box,MONSTERBASS,1710.0,45,38.0,45,35.00,0,ARCHIVED
244,LHS30C,Lew's Laser HS 5.1:1 Spinning Reel,Fishing Reel,Lew's,1709.55,45,37.99,45,39.99,26,ARCHIVED
245,LCLMBR,Custom Lite 7' MH Fast Casting Rod,Fishing Rod,Lew's,1699.9,10,169.99,9,169.99,11,ACTIVE
246,KLA-6.2-3.0,Kalon A Spinning Reel,Fishing Reel,13 Fishing,1697.18,32,53.04,26,49.99,0,ARCHIVED
247,XS610MSA,Lew's Xfinity Spinning Rod - 1 Spinning Rod,Fishing Rod,Lew's,1660.3,27,61.49,23,59.00,74,ACTIVE
248,P413641LR,P4-13 Baitcast Reel - 6.4:1 / LH,Fishing Reel,ProFISHiency,1659.0,21,79.0,19,79.00,0,DRAFT
249,MM-11,Mad Max v3.0 - Bone,Topwater,MONSTERBASS,1620.66,187,8.67,161,8.00,0,ARCHIVED
250,R1175-4,March's Mystery Topwater 4-Pack,Unclassified,Parts Unknown,1618.61,71,22.8,71,19.99,52,ARCHIVED
251,VKB-23R-MKIM1001-TS,Makana 100 - Tsunami Red / Impulse Drive,Kayaks,Vibe Kayaks,1614.99,1,1614.99,1,1899.99,38,ACTIVE
252,CCBR1,"Custom Speed Stick 7'2"" Casting - Crankbait Rod",Fishing Rod,Lew's,1599.9,10,159.99,9,159.99,13,ACTIVE
253,Raid95PropGraBlStd,9.5ft Raider Modular Propeller Drive Pedal Fishing Kayak | 380lbs Capacity | 2 Piece - Gray Black / in 10 - 12 weeks,Kayaks,ReelYaks,1599.0,1,1599.0,1,1599.00,0,ARCHIVED
254,BBL-SS,Death Rattle Lipless Crankbait - Spooky Shad,Lipless Crankbait,Bruiser Baits,1592.01,177,8.99,106,8.99,8,ACTIVE
255,AH70MHS,Lew's American Hero 7' MH Spinning Rod,Fishing Rod,Lew's,1587.0,23,69.0,18,69.00,0,ARCHIVED
256,MB-CRAW-MC,PB Craw - California 420,Craws & Creatures,MONSTERBASS,1574.23,352,4.47,116,5.99,0,ACTIVE
257,MM-28,Mad Max v3.0 - Feeder Gill,Topwater,MONSTERBASS,1570.85,183,8.58,161,8.00,0,ARCHIVED
258,P413641RR,P4-13 Baitcast Reel - 6.4:1 / RH,Fishing Reel,ProFISHiency,1560.25,20,78.01,19,79.00,0,DRAFT
259,AH66MS,"Lew's American Hero 6'6"" M Spinning Rod",Fishing Rod,Lew's,1539.78,22,69.99,18,69.99,34,ACTIVE
260,CWR1,Custom Speed Stick 7' Casting - Worm Rod,Fishing Rod,Lew's,1529.91,9,169.99,8,169.99,0,ARCHIVED
261,Platinum-0925-old,The Bucketmouth Box,Tackle Bundle,MONSTERBASS,1519.95,38,40.0,36,40.00,12,ARCHIVED
262,FTB3C76MH,"13 Fishing Fate Black Rod - 7'6"" MH Casting Rod",Fishing Rod,13 Fishing,1519.81,19,79.99,17,79.99,0,ACTIVE
263,silver-0924,Silver Monthly: September 2024,Subscription Box,MONSTERBASS,1483.96,74,20.05,74,20.00,0,ARCHIVED
264,PMPF75-59,Poppy Mc Pop Face Popper,Topwater,13 Fishing,1480.0,185,8.0,46,8.00,0,ARCHIVED
265,platinum-paid-monthly-3,Platinum Monthly Pass - Bass / 3 Months,Subscription Box,MONSTERBASS,1478.15,38,38.9,36,39.95,-94,ACTIVE
266,ZM-BOX4,Z-Man Bait Bundle #4,Tackle Bundle,Z-Man Fishing Products,1467.55,49,29.95,46,29.95,0,DRAFT
267,Ragnar-43,Ragnar - LIMITED EDITION: Orange Julius,Walking Baits,MONSTERBASS,1467.36,107,13.71,84,12.00,0,ARCHIVED
268,MB-CRAW-GP,PB Craw - Green Pumpkin,Craws & Creatures,MONSTERBASS,1456.46,296,4.92,85,5.99,20,ACTIVE
