,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",CB JACKHAMMER 1/2OZ SPRNG CRAW,Accounts Payable (A/P),2016,949818.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",CB JACKHAMMER 1/2OZ BAMA BUG,Accounts Payable (A/P),2016,951834.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",CB JACKHAMMER 3/8OZ SPRNG CRAW,Accounts Payable (A/P),5796,957630.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",CB JACKHAMMER 3/8OZ BAMA BUG,Accounts Payable (A/P),2772,960402.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",STEALTHBLADE 1/2OZ SPOT RMVR,Accounts Payable (A/P),3024,963426.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",STEALTHBLADE 1/2OZ BLK/BLUE,Accounts Payable (A/P),504,963930.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",STEALTHBLADE 3/8OZ SPOT RMVR,Accounts Payable (A/P),5292,969222.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",STEALTHBLADE 3/8OZ GRN PMKN,Accounts Payable (A/P),3780,973002.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 1/4OZ CTRS SHAD,Accounts Payable (A/P),496.8,973498.9899999999
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 3/16OZ PRL GHST,Accounts Payable (A/P),331.2,973830.1899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 3/16OZ BLK BLU,Accounts Payable (A/P),662.4,974492.5899999999
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 3/16OZ GZRD SHAD,Accounts Payable (A/P),331.2,974823.7899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 3/16OZ CTRS SHAD,Accounts Payable (A/P),496.8,975320.5899999999
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 5/32OZ PRL GHST,Accounts Payable (A/P),331.2,975651.7899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 5/32OZ BLK BLU,Accounts Payable (A/P),621,976272.7899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 5/32OZ GZRD SHAD,Accounts Payable (A/P),496.8,976769.5899999999
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",MWF SWIM JIG 5/32OZ CTRS SHAD,Accounts Payable (A/P),0,976769.5899999999
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",OG MUSHROOM JIG 1/16OZ BLUE 4P,Accounts Payable (A/P),1159.2,977928.7899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",OG MUSHROOM JIG 1/32OZ BLUE 4P,Accounts Payable (A/P),1419.1,979347.8899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.",OG MUSHROOM JIG 3/32OZ BLUE 4P,Accounts Payable (A/P),1159.2,980507.0899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" BLACK/BLUE 4PK",Accounts Payable (A/P),542.7,981049.7899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" BAMA BUG 4PK",Accounts Payable (A/P),388.8,981438.5899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" CANADA CRAW 4PK",Accounts Payable (A/P),777.6,982216.1899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" GAMECHANGER 4PK",Accounts Payable (A/P),777.6,982993.7899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" PURPLE RAIN 4PK",Accounts Payable (A/P),540,983533.7899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" JUNEBUG 4PK",Accounts Payable (A/P),583.2,984116.9899999996
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","GREMLIN 4.5"" GREEN PUMPKIN 4PK",Accounts Payable (A/P),777.6,984894.5899999996
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","SLIM SWIMZ 3"" WTRMLN RED 6PK",Accounts Payable (A/P),294.4,985188.9899999996
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","SLIM SWIMZ 3"" BAD SHAD 6PK",Accounts Payable (A/P),496.8,985685.7899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","SLIM SWIMZ 3"" SMELT 6PK",Accounts Payable (A/P),496.8,986182.5899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","SLIM SWIMZ 3"" THE DEAL 6PK",Accounts Payable (A/P),993.6,987176.1899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","SLIM SWIMZ 3"" PEARL 6PK",Accounts Payable (A/P),1324.8,988500.9899999998
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","TRD TICKLERZ 2.75"" CPRTRSE 8PK",Accounts Payable (A/P),633.6,989134.5899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","TRD TICKLERZ 2.75"" HOUDINI 8PK",Accounts Payable (A/P),633.6,989768.1899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","TRD TICKLERZ 2.75"" CANCRAW 8PK",Accounts Payable (A/P),805.2,990573.3899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","TRD TICKLERZ 2.75"" GRN PKN 8PK",Accounts Payable (A/P),855.8,991429.1899999997
,Inventory Asset,02/25/2025,Bill,2046,"Z-Man Fishing Products, Inc.","TRD TICKLERZ 2.75"" GP/ORNG 8PK",Accounts Payable (A/P),633.6,992062.7899999997
,Inventory Asset,02/27/2025,Bill,2066,A.N.E Wholesale,Lew's Xfinity Spinning Rod,Accounts Payable (A/P),1500,993562.7899999997
,Inventory Asset,02/27/2025,Bill,2066,A.N.E Wholesale,"Lew's American Hero 6'6"" M Spinning Rod",Accounts Payable (A/P),1020,994582.7899999997
,Inventory Asset,02/27/2025,Bill,2066,A.N.E Wholesale,Lew's American Hero 7' MH Spinning Rod,Accounts Payable (A/P),1160,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,GB-11 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,GB-59 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,GB-76 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,GB-10 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,GB-58 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,HFP-1 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,HFP-2 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,GB-14 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,HFP-3 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,HFP-4 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,INDIANA-2 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,INDIANA-1 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,HFP-5 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,INDIANA-10 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,INDIANA-6 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-1 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-2 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,SS38-77 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-3 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-4 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-5 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-8 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,SS38-54 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,SS38-76 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-6 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,CB-7 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,SS38-78 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BEL-BOJ42012 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-STBUZZ38-09 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,YAM-7GL-05-925 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-10B2-11 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-10B2-13 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BEL-BOJBM12 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,DOB-EFJ38-110-1 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BEL-BOJBM38 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-7B2-13 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BEL-BOJBOG12 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-BBOX-116-2CMNR06 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BEL-BOJBOG38 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-SKIPTBUZZ38-04 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,YAM-7GL-05-194 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,YAM-7GL-05-297 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,YAM-7GL-05-305 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-STBUZZ14-08 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-STBUZZ38-07 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,YAM-7GL-05-301 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-BBOX-116-MNR04 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-7B2-18 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-BBOX-116-BSH03 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-10B2-02 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-10B2-18 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-10B2-14 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,BBB-10B2-17 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-000 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-108 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-100 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-814 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-520 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-504 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-217 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/01/2025,Inventory Starting Value,START,,1250-833 - Opening inventory and value,Opening Balance Equity,0,995742.7899999997
,Inventory Asset,03/24/2025,Bill,2057,Weihai Runten Industrial Limited,2026 Buzzbait - Version 2.3   UPC 8 53514 000970,Accounts Payable (A/P),960,996702.7899999997
,Inventory Asset,03/24/2025,Bill,2057,Weihai Runten Industrial Limited,2026 Buzzbait - Version 2.3   UPC 8 53514 000987,Accounts Payable (A/P),960,997662.7899999997
,Inventory Asset,03/24/2025,Bill,2057,Weihai Runten Industrial Limited,2026 Buzzbait - Version 2.3  UPC 8 53514 000994,Accounts Payable (A/P),960,998622.7899999997
,Inventory Asset,03/24/2025,Bill,2057,Weihai Runten Industrial Limited,2026 Buzzbait - Version 2.3  UPC 8 53514 000789,Accounts Payable (A/P),960,999582.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM 10IN@WATERMELON RED MAGIC (8PK),Accounts Payable (A/P),239,999821.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM 10IN@BRUISED MELON (8PK),Accounts Payable (A/P),384,1000205.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM 10IN@TILAPIA MAGIC (8PK),Accounts Payable (A/P),249,1000454.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM 10IN@SCUPPERNONG (8PK),Accounts Payable (A/P),421,1000875.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM 10IN@TEQUILA FIRE (8PK),Accounts Payable (A/P),328,1001203.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM 10IN@FIRE LIGHTNING (8PK),Accounts Payable (A/P),278,1001481.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM-BABY 7IN@TILAPIA MAGIC (12PK),Accounts Payable (A/P),384,1001865.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,B2 WORM-BABY 7IN@FIRE LIGHTNING (12PK),Accounts Payable (A/P),305,1002170.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,BAIT BOX1/16OZ@CURLY MINNR TENN SHAD (1RIG+(6PK)),Accounts Payable (A/P),100,1002270.7899999997
,Inventory Asset,04/01/2025,Bill,2079,GSM Outdoors,EXT FOOTBALL JIG RT BR GRN PMP W/EWG HK 3/8OZ 1PK,Accounts Payable (A/P),1920,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-39 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-23 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-63 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-34 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJS-LG - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-35 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-37 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-56 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJS-CM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TMM-42 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJC-RD - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJC-CM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJC-BK - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJC-LG - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJS-BK - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,FJS-RD - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BFS-1 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BFS-2 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,PTCR-4 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,PTCR-6 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11317 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11910 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-351 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,PTCR-8 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TP-37 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TP-72 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TP-22 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,PTCR-10 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11314 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-357 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TP-63 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TP-80 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,TP-23 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11911 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11912 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,LHS30C - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,15111 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-350 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-352 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,12-590 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,15317 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,15410 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,15705 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11310 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-354 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,15977 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-349 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-358 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-356 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11130 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11309 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,11920 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,MLF-355 - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-AC - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-MBB - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-PM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-RFM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-BB - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-W - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-BG - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-MG - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-M - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-WC - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-W - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-LT - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-MM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-PM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-TM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-BTB - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-WM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMBSW-WR - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-MM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-MG - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-WC - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-AC - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-JB - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
